FID	X	site_id	county	date	year	site_nm	trnsct_	mdw_wd_	emrgn__	sbmrg__	pont_nm	gps_lon	gps_lat	wtr_dp_	bttm_vs	sbstrt_	org_dp_	unvgtt_	ttl_cv_	stndn__	dtrts_p	variabl	Hydrc__	Phrgmt_	Phr____	Typh_ng	Typh_gl	Typ____	Typh_lt	Typh_s_	typh_cm	hyd_bin	typh_bn	UTM	NEAR_FID	NEAR_DIST	area	perimeter	glcwc_cwi_	glcwc_cwi1	other	usgs_quad	lk_basin	wetland_na	hgm_cls1	hgm_cls2	comments	x_centroid	y_centroid	hectares	nwi	wwi	owi	hwi	lowi	h_num	ditch_cons	dykes	dams	dredging	jetty	road_const	filled	marina	waste_sewa	geo_id	country	human_mod	MeanFetch	SD_Fetch	MeanREI	SD_REI
10	11	422	Wayne	7/14/2011	2011	Elba Island Wetland	2	0	35	50	7	-83.151526	42.099952	30	V	Cly/Slt	1	0	96	5	80	percent_cover	65	1	0	0	0	25	0	0	25	1	1	17N	340	3827.258389	24458.76454	886.7917383	857	857	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.45	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	361.007782	134.5428314	2160.105957	255.3594055
11	12	422	Wayne	7/14/2011	2011	Elba Island Wetland	2	0	35	50	8	-83.151454	42.099952	38	V	Cly/Slt	1	0	87	2	90	percent_cover	75	0	0	0	0	10	0	0	10	1	1	17N	340	3830.702901	24458.76454	886.7917383	857	857	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.45	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	361.007782	134.5428314	2160.105957	255.3594055
12	13	422	Wayne	7/14/2011	2011	Elba Island Wetland	2	0	35	50	9	-83.151379	42.099957	40	V	Cly/Slt	1	0	100	10	80	percent_cover	80	0	0	0	0	25	0	0	25	1	1	17N	340	3833.844483	24458.76454	886.7917383	857	857	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.45	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	361.007782	134.5428314	2160.105957	255.3594055
13	14	422	Wayne	7/14/2011	2011	Elba Island Wetland	2	0	35	50	10	-83.151306	42.099966	40	V	Cly/Slt	1	0	38	15	90	percent_cover	25	0	0	0	0	5	0	0	5	1	1	17N	340	3836.53544	24458.76454	886.7917383	857	857	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.45	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	361.007782	134.5428314	2160.105957	255.3594055
14	15	422	Wayne	7/14/2011	2011	Elba Island Wetland	3	25	25	125	1	-83.152574	42.097531	0	Dry	Cly/Slt	1	0	90	2	65	percent_cover	0	90	0	0	0	0	0	0	0	0	0	17N	214	3974.228296	28366.45099	1186.301786	855	855	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.84	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	333.3059692	124.30896	2389.682129	338.7431946
15	16	422	Wayne	7/14/2011	2011	Elba Island Wetland	3	25	25	125	2	-83.152569	42.097501	3	V	Cly/Slt	1	0	75	6	75	percent_cover	0	75	0	0	0	0	0	0	0	0	0	17N	214	3972.947379	28366.45099	1186.301786	855	855	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.84	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	333.3059692	124.30896	2389.682129	338.7431946
16	17	422	Wayne	7/14/2011	2011	Elba Island Wetland	3	25	25	125	3	-83.152568	42.09747	12	V	Cly/Slt	1	0	100	3	75	percent_cover	0	90	0	0	0	0	0	0	0	0	0	17N	214	3971.32581	28366.45099	1186.301786	855	855	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.84	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	333.3059692	124.30896	2389.682129	338.7431946
17	18	422	Wayne	7/14/2011	2011	Elba Island Wetland	3	25	25	125	4	-83.152556	42.097442	25	V	Cly/Slt	1	0	100	15	75	percent_cover	20	80	0	0	0	3	0	0	3	1	1	17N	214	3970.663822	28366.45099	1186.301786	855	855	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.84	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	333.3059692	124.30896	2389.682129	338.7431946
18	19	422	Wayne	7/14/2011	2011	Elba Island Wetland	3	25	25	125	5	-83.152552	42.097416	30	V	Cly/Slt	1	0	100	15	70	percent_cover	20	45	0	0	0	35	0	0	35	1	1	17N	214	3969.535836	28366.45099	1186.301786	855	855	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.84	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	333.3059692	124.30896	2389.682129	338.7431946
19	20	422	Wayne	7/14/2011	2011	Elba Island Wetland	3	25	25	125	6	-83.152544	42.097409	40	V	Cly/Slt	1	0	100	1	80	percent_cover	85	1	0	0	0	35	0	0	35	1	1	17N	214	3969.732236	28366.45099	1186.301786	855	855	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.84	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	333.3059692	124.30896	2389.682129	338.7431946
20	21	422	Wayne	7/14/2011	2011	Elba Island Wetland	3	25	25	125	7	-83.152523	42.097353	40	V	Cly/Slt	1	0	87	1	99	percent_cover	85	0	0	0	0	1	0	0	1	1	1	17N	214	3968.205176	28366.45099	1186.301786	855	855	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.84	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	333.3059692	124.30896	2389.682129	338.7431946
21	22	422	Wayne	7/14/2011	2011	Elba Island Wetland	3	25	25	125	8	-83.15252	42.097317	42	V	Cly/Slt	1	0	85	5	85	percent_cover	30	0	0	0	0	40	0	0	40	1	1	17N	214	3966.469651	28366.45099	1186.301786	855	855	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.84	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	333.3059692	124.30896	2389.682129	338.7431946
22	23	422	Wayne	7/14/2011	2011	Elba Island Wetland	3	25	25	125	9	-83.152535	42.097275	53	V	Cly/Slt	1	0	87	2	85	percent_cover	0	0	0	0	0	30	0	0	30	0	1	17N	214	3963.110898	28366.45099	1186.301786	855	855	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.84	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	345.5462646	129.1260376	2492.367188	326.8313599
23	24	422	Wayne	7/14/2011	2011	Elba Island Wetland	3	25	25	125	10	-83.152523	42.097259	80	V	Cly/Slt	1	0	100	0.5	60	percent_cover	0	0	0	0	0	85	0	0	85	0	1	17N	214	3963.113716	28366.45099	1186.301786	855	855	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.84	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	345.5462646	129.1260376	2492.367188	326.8313599
24	25	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	1	0	75	224	6	-82.80047224	42.58480523	42	V	Cly/Snd	30	80	20	5	90	percent_cover	5	0	0	3	10	0	0	0	10	1	1	17N	288	664.8941751	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
25	26	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	1	0	75	224	7	-82.80040921	42.58471328	48	V	Cly/Snd	32	88	12	5	15	percent_cover	2	0	0	3	0	0	0	0	0	1	0	17N	288	653.4420122	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
26	27	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	1	0	75	224	8	-82.800331	42.58460398	41	V	Sand	21	0	100	7	100	percent_cover	4	0	0	72	0	0	0	0	0	1	0	17N	288	639.6971801	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
27	28	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	1	0	75	224	9	-82.80026638	42.58451312	40	V	Sand	34	10	90	10	95	percent_cover	3	0	0	85	0	0	0	0	0	1	0	17N	288	628.2872789	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
28	29	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	1	0	75	224	10	-82.80019471	42.58440257	52	V	Cly/Snd	41	10	90	10	100	percent_cover	5	0	0	80	4	0	0	0	4	1	1	17N	288	614.6853832	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
29	30	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	2	0	25	44	6	-82.79659879	42.58525651	127	NV	Cly/Snd	29	28	72	10	100	percent_cover	50	0	0	10	5	0	0	0	5	1	1	17N	285	519.2642101	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
30	31	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	2	0	25	44	7	-82.79652034	42.58530278	119	NV	Cly/Slt	28	0	100	5	100	percent_cover	70	0	0	19	0	0	0	0	0	1	0	17N	285	521.823535	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
31	32	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	2	0	25	44	8	-82.79642671	42.58534016	110	NV	Cly/Snd	33	18	82	15	80	percent_cover	20	0	0	7	40	0	0	0	40	1	1	17N	285	523.1564717	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
32	33	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	2	0	25	44	9	-82.79639528	42.58536053	117	NV	Cly/Slt	31	29	71	10	100	percent_cover	35	0	0	15	10	0	0	0	10	1	1	17N	285	524.4593055	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
33	34	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	2	0	25	44	10	-82.79629621	42.58540722	106	NV	Cly/Slt	36	39	61	15	100	percent_cover	50	0	0	7	0	0	0	0	0	1	0	17N	285	526.8356178	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
34	35	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	3	0	55	93	6	-82.79590092	42.58313271	39	V	Cly/Snd	12	0	100	15	100	percent_cover	2	0	0	98	0	0	0	0	0	1	0	17N	285	279.9091054	107807.7566	1364.359705	1629	1629	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	10.78	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4031.298584	462.1387634	14542.52539	1777.868652
35	36	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	3	0	55	93	7	-82.79597292	42.58306967	36	V	Cly/Snd	10	20	80	15	100	percent_cover	4	0	0	75	0	0	0	0	0	1	0	17N	285	276.5211844	107807.7566	1364.359705	1629	1629	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	10.78	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4031.298584	462.1387634	14542.52539	1777.868652
36	37	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	3	0	55	93	8	-82.79602924	42.58299189	58	NV	Cly/Snd	19	71	29	4	90	percent_cover	10	0	0	15	0	0	0	0	0	1	0	17N	285	271.331428	107807.7566	1364.359705	1629	1629	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	10.78	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4031.298584	462.1387634	14542.52539	1777.868652
37	38	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	3	0	55	93	9	-82.79608766	42.58292324	40	V	Cly/Snd	22	1	100	15	100	percent_cover	20	0	0	79	0	0	0	0	0	1	0	17N	285	267.3506062	107807.7566	1364.359705	1629	1629	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	10.78	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4031.298584	462.1387634	14542.52539	1777.868652
38	39	428	Macomb	9/20/2016	2016	Black Creek Area Wetland	3	0	55	93	10	-82.79613008	42.58284278	60	V	Cly/Snd	36	49	51	5	90	percent_cover	15	0	0	35	0	0	0	0	0	1	0	17N	285	261.7928023	107807.7566	1364.359705	1629	1629	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	10.78	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4031.298584	462.1387634	14542.52539	1777.868652
39	40	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	1	0	25	172	6	-82.80137463	42.58263105	95	NV	Or/Sa	6	57	43	8	100	percent_cover	1	0	0	5	5	0	0	0	5	1	1	17N	288	523.0800797	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
40	41	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	1	0	25	172	7	-82.80139006	42.58258369	91	NV	Or/Sa	9	46	54	3	100	percent_cover	25	0	0	5	15	0	0	0	15	1	1	17N	288	520.6615232	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
41	42	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	1	0	25	172	8	-82.80139265	42.58254061	92	NV	Or/Sa	9	16	83	5	100	percent_cover	50	0	0	4	25	0	0	0	25	1	1	17N	288	517.773384	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
42	43	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	1	0	25	172	9	-82.80139793	42.58249694	100	NV	Or/Sa	9	67	33	5	100	percent_cover	10	0	0	7	10	0	0	0	10	1	1	17N	288	515.0444485	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
43	44	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	1	0	25	172	10	-82.80140338	42.58244807	95	NV	Or/Sa	10	11	89	10	100	percent_cover	15	0	0	3	50	0	0	0	50	1	1	17N	288	511.9988313	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
44	45	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	2	0	25	254	6	-82.80082126	42.58390627	86	NV	Sand	5	62	38	10	100	percent_cover	0	0	0	2	10	0	0	0	10	0	1	17N	288	596.2491145	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
45	46	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	2	0	25	254	7	-82.80079502	42.58394449	96	NV	Sand	5	35	65	10	80	percent_cover	0	0	0	3	20	0	0	0	20	0	1	17N	288	598.409907	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
46	47	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	2	0	25	254	8	-82.80076711	42.58398355	91	NV	Or/Sa	8	11	89	5	90	percent_cover	0	0	0	6	30	0	0	0	30	0	1	17N	288	600.5970376	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
47	48	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	2	0	25	254	9	-82.8007366	42.58402504	91	NV	Sand	13	0	100	3	50	percent_cover	0	0	0	3	10	0	0	0	10	0	1	17N	288	602.9145973	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
48	49	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	2	0	25	254	10	-82.80071154	42.58406276	96	NV	Cly/Snd	22	0	100	10	90	percent_cover	0	0	0	7	12	0	0	0	12	0	1	17N	288	605.1785868	1259620.547	6707.634523	1675	1675	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	125.96	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4163.644531	484.6923218	14943.42676	1809.489014
49	50	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	3	0	25	110	6	-82.79640995	42.5828748	95	NV	Sand	4	67	33	3	75	percent_cover	0	0	0	4	25	0	0	0	25	0	1	17N	285	278.1866404	107807.7566	1364.359705	1629	1629	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	10.78	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4031.298584	462.1387634	14542.52539	1777.868652
50	51	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	3	0	25	110	7	-82.796361	42.58284512	91	NV	Sand	4	48	52	5	100	percent_cover	3	0	0	3	40	0	0	0	40	1	1	17N	285	273.1175792	107807.7566	1364.359705	1629	1629	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	10.78	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4031.298584	462.1387634	14542.52539	1777.868652
51	52	428	Macomb	9/19/2017	2017	Black Creek Area Wetland	3	0	25	110	8	-82.79631691	42.58282031	92	NV	Cly/Snd	8	58	42	10	100	percent_cover	0	0	0	30	5	0	0	0	5	0	1	17N	285	268.7264956	107807.7566	1364.359705	1629	1629	 	Mt. Clemens East	LSC	Black Creek Area Wetland	RCD	 	wetland is contiguous; residential development exists	844487.3254	4723423.869	10.78	T	F	F	T	F	8	T	T	F	T	T	T	T	T	F	428	USA	1	4031.298584	462.1387634	14542.52539	1777.868652
