"","�..OID_","sit_d","trns_","date","crw_n","year","pnt_n","crd_q","wtr__","bttm_","sbst_","org__","unvg_","ttl__","stn__","dtrt_","varbl","Hyd__","Phrgmts_st","Phrgmts__1","Typh_n","Typh_g","Typh_l","Typ__","typh_","st_nm","conty","crw_c","obsrv","qa_dn","qr_fl","berng","wdth_md","wdth_mr","wdth_s","cmmnt","NEAR_FID","NEAR_DIST","MeanFetch","SD_Fetch","MeanREI","SD_REI","UTM_X","UTM_Y","EFB_cover","typ_cover","hyd_bin"
"11",10,1152,1,"8/1/2016","NRRI/UWS",2016,7,"Excellent",29,"NV","Sand",31,60,40,35,20,"percent_cover",0,0,0,0,25,0,0,25,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,200,0,32,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1074.87077,183.051757813,3.7645199,1570.0899658,71.4949036,469364.777674474,5158476.60876616,0,0.25,0
"12",11,1152,1,"8/1/2016","NRRI/UWS",2016,8,"Excellent",44,"NV","Sand",38,50,50,25,40,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,200,0,32,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1078.87524095,183.051757813,3.7645199,1570.0899658,71.4949036,469361.994557673,5158471.73355498,0,0.3,0
"13",12,1152,1,"8/1/2016","NRRI/UWS",2016,9,"Excellent",41,"NV","Sand",15,60,40,20,10,"percent_cover",0,0,0,0,35,0,0,35,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,200,0,32,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1079.51601336,183.051757813,3.7645199,1570.0899658,71.4949036,469362.058222971,5158469.17745217,0,0.35,0
"14",13,1152,1,"8/1/2016","NRRI/UWS",2016,10,"Excellent",45,"NV","Sand",11,70,30,40,50,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,200,0,32,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1083.8815758,183.051757813,3.7645199,1570.0899658,71.4949036,469359.344398053,5158462.85731962,0,0.3,0
"15",14,1152,1,"8/12/2011","NRRI/UWS",2011,6,"Excellent",0,"NV","Cly/Slt",10,2,98,20,90,"percent_cover",0,0,0,25,0,0,0,25,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,0,30,20," ",118,1034.73952978,183.051757813,3.7645199,1570.0899658,71.4949036,469408.009719143,5158471.50047489,0,0.25,0
"16",15,1152,1,"8/12/2011","NRRI/UWS",2011,7,"Excellent",0,"NV","Cly/Slt",10,38,62,25,80,"percent_cover",0,0,0,20,0,0,0,20,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,0,30,20," ",118,1036.78525373,183.051757813,3.7645199,1570.0899658,71.4949036,469403.093621812,5158481.03508342,0,0.2,0
"17",16,1152,1,"8/12/2011","NRRI/UWS",2011,8,"Excellent",0,"NV","Cly/Slt",10,70,30,25,60,"percent_cover",0,0,0,25,0,0,0,25,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,0,30,20," ",118,1033.77016549,183.051757813,3.7645199,1570.0899658,71.4949036,469411.014348153,5158464.89135568,0,0.25,0
"18",17,1152,1,"8/12/2011","NRRI/UWS",2011,9,"Excellent",4,"V","Cly/Slt",10,85,15,60,90,"percent_cover",0,0,0,10,0,0,0,10,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,0,30,20," ",118,1041.48467012,183.051757813,3.7645199,1570.0899658,71.4949036,469404.988864726,5158458.25237924,0,0.1,0
"19",18,1152,1,"8/12/2011","NRRI/UWS",2011,10,"Excellent",12,"V","Cly/Slt",2,75,25,5,80,"percent_cover",0,0,0,25,0,0,0,25,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,0,30,20," ",118,1037.40411096,183.051757813,3.7645199,1570.0899658,71.4949036,469409.101481533,5158458.76272046,0,0.25,0
"20",19,1152,2,"7/21/2021","NRRI/UWS",2021,6,"Excellent",3,"NV","Sand",40,65,35,90,100,"percent_cover",0,0,0,0,35,0,0,35,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,135,0,75,0," ",118,1127.74278749,172.788497925,5.2122002,1462.2800293,62.6665993,469301.581951062,5158510.26567948,0,0.35,0
"21",20,1152,2,"7/21/2021","NRRI/UWS",2021,7,"Excellent",7,"NV","Sand",70,80,20,90,70,"percent_cover",0,0,0,0,20,0,0,20,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,135,0,75,0," ",118,1125.61617675,172.788497925,5.2122002,1462.2800293,62.6665993,469305.753724601,5158501.91042515,0,0.2,0
"22",21,1152,2,"7/21/2021","NRRI/UWS",2021,8,"Excellent",7,"NV","Sand",80,85,15,100,80,"percent_cover",0,0,0,0,15,0,0,15,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,135,0,75,0," ",118,1122.29240709,172.788497925,5.2122002,1462.2800293,62.6665993,469311.153124829,5158493.88230312,0,0.15,0
"23",22,1152,2,"7/21/2021","NRRI/UWS",2021,9,"Excellent",12,"NV","Sand",90,75,25,80,70,"percent_cover",0,0,0,0,25,0,0,25,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,135,0,75,0," ",118,1119.84601833,172.788497925,5.2122002,1462.2800293,62.6665993,469316.010556627,5158484.74572872,0,0.25,0
"24",23,1152,2,"8/1/2016","NRRI/UWS",2016,6,"Excellent",29,"NV","Sand",35,55,45,20,30,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,172,0,57,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1128.35895059,172.788497925,5.2122002,1462.2800293,62.6665993,469304.64549141,5158494.9154374,0,0.3,0
"25",24,1152,2,"8/1/2016","NRRI/UWS",2016,7,"Excellent",31,"NV","Sand",77,65,35,30,15,"percent_cover",0,0,0,0,35,0,0,35,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,172,0,57,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1124.83260051,172.788497925,5.2122002,1462.2800293,62.6665993,469309.824627767,5158488.77748801,0,0.35,0
"26",25,1152,2,"8/1/2016","NRRI/UWS",2016,8,"Excellent",36,"NV","Sand",116,60,40,25,15,"percent_cover",0,0,0,0,40,0,0,40,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,172,0,57,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1121.17608391,172.788497925,5.2122002,1462.2800293,62.6665993,469315.683767227,5158480.74703594,0,0.4,0
"27",26,1152,2,"8/1/2016","NRRI/UWS",2016,10,"Excellent",39,"NV","Sand",37,50,50,20,15,"percent_cover",0,0,0,0,50,0,0,50,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,172,0,57,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1119.37372028,199.298751831,5.85744,1691,73.1168976,469322.036401134,5158464.26889808,0,0.5,0
"28",27,1152,2,"8/12/2011","NRRI/UWS",2011,1,"Excellent",0,"NV","Sand",2,49,51,5,80,"percent_cover",0,0,0,8,0,0,0,8,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1117.29480177,172.788497925,5.2122002,1462.2800293,62.6665993,469323.461094772,5158466.89078694,0,0.08,0
"29",28,1152,2,"8/12/2011","NRRI/UWS",2011,2,"Excellent",0,"NV","Sand",2,27,73,3,90,"percent_cover",0,0,0,25,0,0,0,25,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1114.52376196,189.987243652,4.6916599,1620.7399902,72.4656982,469326.20579507,5158467.36023276,0,0.25,0
"30",29,1152,2,"8/12/2011","NRRI/UWS",2011,3,"Excellent",0,"NV","Sand",2,20,80,20,15,"percent_cover",0,0,0,15,0,0,0,15,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1121.64484593,172.788497925,5.2122002,1462.2800293,62.6665993,469319.021769625,5158466.62440591,0,0.15,0
"31",30,1152,2,"8/12/2011","NRRI/UWS",2011,4,"Excellent",0,"NV","Sand",2,64,36,10,95,"percent_cover",0,0,0,20,0,0,0,20,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1121.94035067,172.788497925,5.2122002,1462.2800293,62.6665993,469319.161513511,5158465.02133346,0,0.2,0
"32",31,1152,2,"8/12/2011","NRRI/UWS",2011,5,"Excellent",0,"NV","Sand",4,67,33,15,95,"percent_cover",0,0,0,30,0,0,0,30,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1129.50204797,172.788497925,5.2122002,1462.2800293,62.6665993,469311.281517127,5158465.14467947,0,0.3,0
"33",32,1152,2,"8/12/2011","NRRI/UWS",2011,6,"Excellent",0,"NV","Cly/Slt",10,71,29,10,70,"percent_cover",0,0,0,20,0,0,0,20,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1122.99213249,172.788497925,5.2122002,1462.2800293,62.6665993,469309.80884341,5158496.38268161,0,0.2,0
"34",33,1152,2,"8/12/2011","NRRI/UWS",2011,7,"Excellent",0,"NV","Cly/Slt",10,23,77,35,95,"percent_cover",0,0,0,30,0,0,0,30,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1122.59962767,172.788497925,5.2122002,1462.2800293,62.6665993,469311.44729455,5158491.45615173,0,0.3,0
"35",34,1152,2,"8/12/2011","NRRI/UWS",2011,8,"Excellent",0,"NV","Cly/Slt",10,25,75,20,95,"percent_cover",0,0,0,25,0,0,0,25,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1121.86642568,172.788497925,5.2122002,1462.2800293,62.6665993,469313.143374457,5158487.76832763,0,0.25,0
"36",35,1152,2,"8/12/2011","NRRI/UWS",2011,9,"Excellent",0,"NV","Cly/Slt",0,65,35,40,30,"percent_cover",0,0,0,35,0,0,0,35,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1122.04937153,172.788497925,5.2122002,1462.2800293,62.6665993,469315.773585474,5158477.00736225,0,0.35,0
"37",36,1152,2,"8/12/2011","NRRI/UWS",2011,10,"Excellent",2,"NV","Cly/Slt",5,50,50,30,60,"percent_cover",0,0,0,40,0,0,0,40,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,160,25,35,0," ",118,1120.07166845,172.788497925,5.2122002,1462.2800293,62.6665993,469319.291289335,5158471.56791696,0,0.4,0
"38",37,1152,3,"7/21/2021","NRRI/UWS",2021,1,"Excellent",12," ","Sand",60,30,70,20,70,"percent_cover",0,0,0,0,0,5,0,5,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1231.51847176,177.382751465,8.2725801,1468.7600098,77.5294037,469198.976702362,5158493.56395746,0,0.05,0
"39",38,1152,3,"7/21/2021","NRRI/UWS",2021,3,"Excellent",8," ","Sand",50,60,40,50,60,"percent_cover",0,0,0,3,0,0,0,3,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1225.66491568,182.497756958,7.8989801,1520.6199951,76.8937988,469209.604461826,5158474.06364874,0,0.03,0
"40",39,1152,3,"7/21/2021","NRRI/UWS",2021,5,"Excellent",0," ","Sand",60,40,60,50,60,"percent_cover",0,0,0,0,1,0,0,1,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1220.98575753,182.497756958,7.8989801,1520.6199951,76.8937988,469219.464952352,5158454.34502556,0,0.01,0
"41",40,1152,3,"7/21/2021","NRRI/UWS",2021,6,"Excellent",10," ","Sand",5,70,30,20,50,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1213.55322452,207.961502075,8.1559,1732.4799805,81.0711975,469230.060916847,5158443.62346763,0,0.3,0
"42",41,1152,3,"7/21/2021","NRRI/UWS",2021,7,"Excellent",12," ","Sand",10,50,50,40,60,"percent_cover",0,0,0,0,40,0,0,40,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1216.81933712,207.961502075,8.1559,1732.4799805,81.0711975,469226.914938603,5158442.7505171,0,0.4,0
"43",42,1152,3,"7/21/2021","NRRI/UWS",2021,8,"Excellent",3," ","Sand",2,50,50,60,70,"percent_cover",0,0,0,0,40,0,0,40,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1222.89544901,207.961502075,8.1559,1732.4799805,81.0711975,469221.158193391,5158440.77965365,0,0.4,0
"44",43,1152,3,"7/21/2021","NRRI/UWS",2021,9,"Excellent",10," ","Sand",3,35,65,30,50,"percent_cover",0,0,0,0,35,0,0,35,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1232.79774847,207.961502075,8.1559,1732.4799805,81.0711975,469211.643060594,5158438.05009315,0,0.35,0
"45",44,1152,3,"7/21/2021","NRRI/UWS",2021,10,"Excellent",10," ","Sand",8,40,60,50,50,"percent_cover",0,0,0,0,35,0,0,35,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,155,70,30,0," ",118,1234.82145215,207.961502075,8.1559,1732.4799805,81.0711975,469208.746186023,5158440.95399355,0,0.35,0
"46",45,1152,3,"8/1/2016","NRRI/UWS",2016,6,"Excellent",32,"NV","Sand",4,85,15,5,15,"percent_cover",0,0,0,0,10,0,0,10,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,135,0,21,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1244.78750483,204.424743652,9.1027298,1690.5200195,85.4838028,469199.530736154,5158436.88947461,0,0.1,0
"47",46,1152,3,"8/1/2016","NRRI/UWS",2016,7,"Excellent",33,"NV","Sand",22,70,30,5,2,"percent_cover",0,0,0,0,5,0,0,5,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,135,0,21,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1244.16556296,207.961502075,8.1559,1732.4799805,81.0711975,469200.821400306,5158434.54935882,0,0.05,0
"48",47,1152,3,"8/1/2016","NRRI/UWS",2016,8,"Excellent",41,"V","Sand",1,77,23,5,5,"percent_cover",0,0,0,0,10,0,0,10,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,135,0,21,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1240.33908234,207.961502075,8.1559,1732.4799805,81.0711975,469205.106509475,5158433.41631576,0,0.1,0
"49",48,1152,3,"8/1/2016","NRRI/UWS",2016,9,"Excellent",44,"NV","Sand",2,60,40,5,3,"percent_cover",0,0,0,0,7,0,0,7,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,135,0,21,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1234.36314909,207.961502075,8.1559,1732.4799805,81.0711975,469211.162392174,5158433.94106859,0,0.07,0
"50",49,1152,3,"8/1/2016","NRRI/UWS",2016,10,"Excellent",31,"NV","Sand",12,98,2,2,40,"percent_cover",0,0,0,0,2,0,0,2,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,135,0,21,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1235.86593103,207.961502075,8.1559,1732.4799805,81.0711975,469210.005719791,5158432.50238916,0,0.02,0
"51",50,1152,4,"8/12/2011","NRRI/UWS",2011,6,"Excellent",18,"V","Sand",2,85,15,2,80,"percent_cover",0,0,0,8,0,0,0,8,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,164,60,25,0," ",118,1175.07579252,172.788497925,5.2122002,1462.2800293,62.6665993,469268.660895517,5158448.39196422,0,0.08,0
"52",51,1152,4,"8/12/2011","NRRI/UWS",2011,7,"Excellent",10,"V","Cly/Slt",0,70,30,2,80,"percent_cover",0,0,0,20,0,0,0,20,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,164,60,25,0," ",118,1178.73952602,172.788497925,5.2122002,1462.2800293,62.6665993,469264.0574075,5158451.25562228,0,0.2,0
"53",52,1152,4,"8/12/2011","NRRI/UWS",2011,8,"Excellent",5,"V","Cly/Slt",9,61,39,5,95,"percent_cover",0,0,0,30,0,0,0,30,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,164,60,25,0," ",118,1184.96914056,182.404251099,6.7378101,1531.0500488,70.0159988,469258.801277013,5158446.92308097,0,0.3,0
"54",53,1152,4,"8/12/2011","NRRI/UWS",2011,9,"Excellent",11,"V","Cly/Slt",6,88,12,4,100,"percent_cover",0,0,0,9,0,0,0,9,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,164,60,25,0," ",118,1171.90342473,172.788497925,5.2122002,1462.2800293,62.6665993,469270.864426845,5158452.28332627,0,0.09,0
"55",54,1152,4,"8/12/2011","NRRI/UWS",2011,10,"Excellent",5,"V","Cly/Slt",10,59,41,25,100,"percent_cover",0,0,0,40,0,0,0,40,"Dead River Wetland","Marquette","M. Jahnke","C. Closson, M. Hogfeldt",1,0,164,60,25,0," ",118,1169.29470053,172.788497925,5.2122002,1462.2800293,62.6665993,469273.372845469,5158452.99619302,0,0.4,0
"56",55,1275,2,"7/11/2018","CMU",2018,2,"Excellent",30,"NV","Sand",30,23,77,1,100,"percent_cover",0,0,0,0,5,0,0,5,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,20,27,0,37,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,2014.43645741,0,0,0,0,562121.302933351,4940585.43835329,0,0.05,0
"57",56,1275,2,"7/11/2018","CMU",2018,4,"Excellent",20,"NV","Sand",50,30,70,15,100,"percent_cover",0,0,0,0,10,0,0,10,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,20,27,0,37,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,2007.00619655,0,0,0,0,562120.036065312,4940593.42468868,0,0.1,0
"58",57,1275,2,"7/25/2019","CMU",2019,3,"Confirmed",70,"NV","Cly/Slt",16,64,36,5,100,"percent_cover",0,0,0,0,0.5,0,0,0.5,"Betsie River Wetland","Benzie","A. Kneisel","A. Kneisel",1,0,64,13,0,39,"T1: No meadow or emergent, T2: No emergent; standing dead in Q5 is dead Alnus incana amd typha, T3: No emergent",191,2019.51381583,0,0,0,0,562139.735864125,4940591.16982039,0,0.005,0
"59",58,1275,2,"7/25/2019","CMU",2019,5,"Confirmed",86,"NV","Cly/Slt",25,93,7,45,100,"percent_cover",0,0,0,0,0.5,0,0,0.5,"Betsie River Wetland","Benzie","A. Kneisel","A. Kneisel",1,0,64,13,0,39,"T1: No meadow or emergent, T2: No emergent; standing dead in Q5 is dead Alnus incana amd typha, T3: No emergent",191,2021.14576228,0,0,0,0,562144.012762846,4940591.98851774,0,0.005,0
"60",59,1275,3,"7/11/2018","CMU",2018,1,"Excellent",0,"Dry","Cly/Slt",60,0,100,5,80,"percent_cover",0,0,0,12,0,0,0,12,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,185,14,13,29,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,1592.63176664,0,0,0,0,561907.552266555,4940949.21012789,0,0.12,0
"61",60,1275,3,"7/11/2018","CMU",2018,2,"Excellent",0,"Dry","Cly/Slt",35,0,100,10,90,"percent_cover",0,0,0,25,0,0,0,25,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,185,14,13,29,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,1594.27931435,0,0,0,0,561906.782288095,4940946.75877728,0,0.25,0
"62",61,1275,3,"7/11/2018","CMU",2018,3,"Excellent",0,"Dry","Cly/Slt",55,40,60,3,60,"percent_cover",0,0,0,20,0,0,0,20,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,185,14,13,29,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,1598.0980621,0,0,0,0,561906.746520917,4940942.20373664,0,0.2,0
"63",62,1275,3,"7/11/2018","CMU",2018,4,"Excellent",1,"NV","Cly/Slt",49,5,95,2,100,"percent_cover",0,0,0,5,0,0,0,5,"Betsie River Wetland","Benzie","M. Sand","G. Beels",1,0,185,14,13,29,"Transect 2: No true emergent zone, typha found sparsely around edges. Went farther than suggested to start zone, to include area that was flooded out. Transect 4: No emergent zone. Wet meadow drops off to 1 m + of water with potamogeton sp. and  a few sp",191,1600.38313106,0,0,0,0,561907.876349528,4940940.21492153,0,0.05,0
